OID,Province_S,Country_Re,Lat,Lon,date,number_of_cases,number_of_deaths,number_of_recovered,coordinate,
,Shanxi,China,37.5777,112.2922,1/24/2020 0:00,1,0,0,"112.2922,37.5777",
,Sichuan,China,30.6171,102.7103,1/24/2020 0:00,15,0,0,"102.7103,30.6171",
,Tianjin,China,39.3054,117.323,1/24/2020 0:00,8,0,0,"117.323,39.3054",
,Tibet,China,31.6927,88.0924,1/24/2020 0:00,0,0,0,"88.0924,31.6927",
,Xinjiang,China,41.1129,85.2401,1/24/2020 0:00,2,0,0,"85.2401,41.1129",
,Yunnan,China,24.974,101.487,1/24/2020 0:00,5,0,0,"101.487,24.974",
,Zhejiang,China,29.1832,120.0934,1/24/2020 0:00,43,0,0,"120.0934,29.1832",
, ,Colombia,4.5709,-74.2973,1/24/2020 0:00,0,0,0,"-74.2973,4.5709",
, ,Congo (Brazzaville),-4.0383,21.7587,1/24/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Congo (Kinshasa),-4.0383,21.7587,1/24/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Denmark,56.2639,9.5018,1/22/2020 0:00,0,0,0,"9.5018,56.2639",
, ,Diamond Princess,0,0,1/22/2020 0:00,0,0,0,"0,0",
, ,Djibouti,11.8251,42.5903,1/22/2020 0:00,0,0,0,"42.5903,11.8251",
, ,Dominica,15.415,-61.371,1/22/2020 0:00,0,0,0,"-61.371,15.415",
, ,Dominican Republic,18.7357,-70.1627,1/22/2020 0:00,0,0,0,"-70.1627,18.7357",
, ,Ecuador,-1.8312,-78.1834,1/22/2020 0:00,0,0,0,"-78.1834,-1.8312",
, ,Egypt,26,30,1/22/2020 0:00,0,0,0,"30,26",
, ,El Salvador,13.7942,-88.8965,1/22/2020 0:00,0,0,0,"-88.8965,13.7942",
, ,Equatorial Guinea,1.5,10,1/22/2020 0:00,0,0,0,"10,1.5",
, ,Eritrea,15.1794,39.7823,1/22/2020 0:00,0,0,0,"39.7823,15.1794",
, ,Estonia,58.5953,25.0136,1/22/2020 0:00,0,0,0,"25.0136,58.5953",
, ,Eswatini,-26.5225,31.4659,1/22/2020 0:00,0,0,0,"31.4659,-26.5225",
, ,Ethiopia,9.145,40.4897,1/22/2020 0:00,0,0,0,"40.4897,9.145",
, ,Fiji,-17.7134,178.065,1/22/2020 0:00,0,0,0,"178.065,-17.7134",
, ,Finland,64,26,1/22/2020 0:00,0,0,0,"26,64",
,French Guiana,France,3.9339,-53.1258,1/22/2020 0:00,0,0,0,"-53.1258,3.9339",
,French Polynesia,France,-17.6797,149.4068,1/22/2020 0:00,0,0,0,"149.4068,-17.6797",
,Guadeloupe,France,16.25,-61.5833,1/22/2020 0:00,0,0,0,"-61.5833,16.25",
,Martinique,France,14.6415,-61.0242,1/22/2020 0:00,0,0,0,"-61.0242,14.6415",
,Mayotte,France,-12.8275,45.1662,1/22/2020 0:00,0,0,0,"45.1662,-12.8275",
,New Caledonia,France,-20.9043,165.618,1/22/2020 0:00,0,0,0,"165.618,-20.9043",
,Reunion,France,-21.1351,55.2471,1/22/2020 0:00,0,0,0,"55.2471,-21.1351",
,Saint Barthelemy,France,17.9,-62.8333,1/22/2020 0:00,0,0,0,"-62.8333,17.9",
,St Martin,France,18.0708,-63.0501,1/22/2020 0:00,0,0,0,"-63.0501,18.0708",
, ,France,46.2276,2.2137,1/22/2020 0:00,0,0,0,"2.2137,46.2276",
, ,Gabon,-0.8037,11.6094,1/22/2020 0:00,0,0,0,"11.6094,-0.8037",
, ,Gambia,13.4432,-15.3101,1/22/2020 0:00,0,0,0,"-15.3101,13.4432",
, ,Georgia,42.3154,43.3569,1/22/2020 0:00,0,0,0,"43.3569,42.3154",
, ,Germany,51,9,1/22/2020 0:00,0,0,0,"9,51",
, ,Ghana,7.9465,-1.0232,1/22/2020 0:00,0,0,0,"-1.0232,7.9465",
, ,Greece,39.0742,21.8243,1/22/2020 0:00,0,0,0,"21.8243,39.0742",
, ,Grenada,12.1165,-61.679,1/22/2020 0:00,0,0,0,"-61.679,12.1165",
, ,Guatemala,15.7835,-90.2308,1/22/2020 0:00,0,0,0,"-90.2308,15.7835",
, ,Guinea,9.9456,-9.6966,1/22/2020 0:00,0,0,0,"-9.6966,9.9456",
, ,Guinea-Bissau,11.8037,-15.1804,1/22/2020 0:00,0,0,0,"-15.1804,11.8037",
, ,Guyana,5,-58.75,1/22/2020 0:00,0,0,0,"-58.75,5",
, ,Haiti,18.9712,-72.2852,1/22/2020 0:00,0,0,0,"-72.2852,18.9712",
, ,Holy See,41.9029,12.4534,1/22/2020 0:00,0,0,0,"12.4534,41.9029",
, ,Honduras,15.2,-86.2419,1/22/2020 0:00,0,0,0,"-86.2419,15.2",
, ,Hungary,47.1625,19.5033,1/22/2020 0:00,0,0,0,"19.5033,47.1625",
, ,Iceland,64.9631,-19.0208,1/22/2020 0:00,0,0,0,"-19.0208,64.9631",
, ,India,21,78,1/22/2020 0:00,0,0,0,"78,21",
, ,Indonesia,-0.7893,113.9213,1/22/2020 0:00,0,0,0,"113.9213,-0.7893",
, ,Iran,32,53,1/22/2020 0:00,0,0,0,"53,32",
, ,Iraq,33,44,1/22/2020 0:00,0,0,0,"44,33",
, ,Ireland,53.1424,-7.6921,1/22/2020 0:00,0,0,0,"-7.6921,53.1424",
, ,Israel,31,35,1/22/2020 0:00,0,0,0,"35,31",
, ,Italy,43,12,1/22/2020 0:00,0,0,0,"12,43",
, ,Jamaica,18.1096,-77.2975,1/22/2020 0:00,0,0,0,"-77.2975,18.1096",
, ,Japan,36,138,1/22/2020 0:00,2,0,0,"138,36",
, ,Jordan,31.24,36.51,1/22/2020 0:00,0,0,0,"36.51,31.24",
, ,Kazakhstan,48.0196,66.9237,1/22/2020 0:00,0,0,0,"66.9237,48.0196",
, ,Kenya,-0.0236,37.9062,1/22/2020 0:00,0,0,0,"37.9062,-0.0236",
, ,"Korea, South",36,128,1/22/2020 0:00,1,0,0,"128,36",
, ,Kosovo,42.602636,20.902977,1/22/2020 0:00,0,0,0,"20.902977,42.602636",
, ,Kuwait,29.5,47.75,1/22/2020 0:00,0,0,0,"47.75,29.5",
, ,Kyrgyzstan,41.2044,74.7661,1/22/2020 0:00,0,0,0,"74.7661,41.2044",
, ,Laos,19.85627,102.495496,1/22/2020 0:00,0,0,0,"102.495496,19.85627",
, ,Latvia,56.8796,24.6032,1/22/2020 0:00,0,0,0,"24.6032,56.8796",
, ,Lebanon,33.8547,35.8623,1/22/2020 0:00,0,0,0,"35.8623,33.8547",
, ,Liberia,6.4281,-9.4295,1/22/2020 0:00,0,0,0,"-9.4295,6.4281",
, ,Libya,26.3351,17.228331,1/22/2020 0:00,0,0,0,"17.228331,26.3351",
, ,Liechtenstein,47.14,9.55,1/22/2020 0:00,0,0,0,"9.55,47.14",
, ,Lithuania,55.1694,23.8813,1/22/2020 0:00,0,0,0,"23.8813,55.1694",
, ,Luxembourg,49.8153,6.1296,1/22/2020 0:00,0,0,0,"6.1296,49.8153",
, ,MS Zaandam,0,0,1/22/2020 0:00,0,0,0,"0,0",
, ,Madagascar,-18.7669,46.8691,1/22/2020 0:00,0,0,0,"46.8691,-18.7669",
, ,Malaysia,2.5,112.5,1/22/2020 0:00,0,0,0,"112.5,2.5",
, ,Maldives,3.2028,73.2207,1/22/2020 0:00,0,0,0,"73.2207,3.2028",
, ,Mali,17.570692,-3.996166,1/22/2020 0:00,0,0,0,"-3.996166,17.570692",
, ,Malta,35.9375,14.3754,1/22/2020 0:00,0,0,0,"14.3754,35.9375",
, ,Mauritania,21.0079,10.9408,1/22/2020 0:00,0,0,0,"10.9408,21.0079",
, ,Mauritius,-20.2,57.5,1/22/2020 0:00,0,0,0,"57.5,-20.2",
, ,Mexico,23.6345,-102.5528,1/22/2020 0:00,0,0,0,"-102.5528,23.6345",
, ,Moldova,47.4116,28.3699,1/22/2020 0:00,0,0,0,"28.3699,47.4116",
, ,Monaco,43.7333,7.4167,1/22/2020 0:00,0,0,0,"7.4167,43.7333",
, ,Mongolia,46.8625,103.8467,1/22/2020 0:00,0,0,0,"103.8467,46.8625",
, ,Montenegro,42.5,19.3,1/22/2020 0:00,0,0,0,"19.3,42.5",
, ,Morocco,31.7917,-7.0926,1/22/2020 0:00,0,0,0,"-7.0926,31.7917",
, ,Mozambique,-18.665695,35.529562,1/22/2020 0:00,0,0,0,"35.529562,-18.665695",
, ,Namibia,-22.9576,18.4904,1/22/2020 0:00,0,0,0,"18.4904,-22.9576",
, ,Nepal,28.1667,84.25,1/22/2020 0:00,0,0,0,"84.25,28.1667",
,Aruba,Netherlands,12.5186,-70.0358,1/22/2020 0:00,0,0,0,"-70.0358,12.5186",
,Curacao,Netherlands,12.1696,-68.99,1/22/2020 0:00,0,0,0,"-68.99,12.1696",
,Sint Maarten,Netherlands,18.0425,-63.0548,1/22/2020 0:00,0,0,0,"-63.0548,18.0425",
, ,Netherlands,52.1326,5.2913,1/22/2020 0:00,0,0,0,"5.2913,52.1326",
, ,New Zealand,-40.9006,174.886,1/22/2020 0:00,0,0,0,"174.886,-40.9006",
, ,Nicaragua,12.8654,-85.2072,1/22/2020 0:00,0,0,0,"-85.2072,12.8654",
, ,Niger,17.6078,8.0817,1/22/2020 0:00,0,0,0,"8.0817,17.6078",
, ,Nigeria,9.082,8.6753,1/22/2020 0:00,0,0,0,"8.6753,9.082",
, ,North Macedonia,41.6086,21.7453,1/22/2020 0:00,0,0,0,"21.7453,41.6086",
