,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
5267,Colebrook,1,2020-04-24,42.0053727,-73.0637318,0,71.0,0.0,0
5336,Norfolk,5,2020-04-24,41.969912,-73.17846440000002,0,305.0,0.0,0
5243,Barkhamsted,13,2020-04-24,41.9357077,-72.9729214,0,359.0,1.0,0
5360,Salisbury,6,2020-04-24,41.986226,-73.4252735,0,167.0,0.0,0
5353,Prospect,29,2020-04-24,41.499247499999996,-72.9756347,0,296.0,0.0,0
5329,New Fairfield,94,2020-04-24,41.482080700000004,-73.4876199,1,677.0,0.0,3
5393,West Haven,620,2020-04-24,41.2721217,-72.96749770000002,25,1130.0,13.0,30
5297,Groton,46,2020-04-24,41.347573499999996,-72.0313358,4,119.0,6.0,2
5362,Seymour,139,2020-04-24,41.385132299999995,-73.0835288,17,842.0,1.0,6
5337,North Branford,54,2020-04-24,41.3638391,-72.7848682,2,381.0,0.0,2
5338,North Canaan,3,2020-04-24,42.022215100000004,-73.2957158,1,92.0,1.0,0
