,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
5406,Woodbury,28,2020-04-24,41.5616321,-73.20609590000002,2,294.0,0.0,1
4140,Wallingford,0,2020-03-24,41.461989,-72.8055114,0,0.0,0.0,0
3895,Wallingford,2,2020-03-25,41.461989,-72.8055114,0,0.0,2.0,0
3885,Wallingford,2,2020-03-26,41.461989,-72.8055114,0,0.0,0.0,0
3567,Wallingford,2,2020-03-27,41.461989,-72.8055114,0,0.0,0.0,0
3386,Wallingford,3,2020-03-28,41.461989,-72.8055114,0,0.0,1.0,0
3375,Wallingford,5,2020-03-29,41.461989,-72.8055114,0,0.0,2.0,0
3189,Wallingford,8,2020-03-30,41.461989,-72.8055114,0,0.0,3.0,0
2953,Wallingford,10,2020-03-31,41.461989,-72.8055114,1,0.0,2.0,1
2733,Wallingford,14,2020-04-01,41.461989,-72.8055114,1,0.0,4.0,1
2637,Wallingford,18,2020-04-02,41.461989,-72.8055114,1,0.0,4.0,2
2513,Wallingford,24,2020-04-03,41.461989,-72.8055114,0,0.0,6.0,3
2344,Wallingford,23,2020-04-04,41.461989,-72.8055114,2,0.0,-1.0,2
2146,Wallingford,23,2020-04-05,41.461989,-72.8055114,2,0.0,0.0,2
2006,Wallingford,30,2020-04-06,41.461989,-72.8055114,2,0.0,7.0,3
1837,Wallingford,36,2020-04-07,41.461989,-72.8055114,2,0.0,6.0,3
1668,Wallingford,42,2020-04-08,41.461989,-72.8055114,2,0.0,6.0,4
1499,Wallingford,52,2020-04-09,41.461989,-72.8055114,2,0.0,10.0,4
1330,Wallingford,57,2020-04-10,41.461989,-72.8055114,3,0.0,5.0,4
1161,Wallingford,69,2020-04-11,41.461989,-72.8055114,3,0.0,12.0,6
992,Wallingford,70,2020-04-12,41.461989,-72.8055114,3,0.0,1.0,6
823,Wallingford,79,2020-04-13,41.461989,-72.8055114,3,0.0,9.0,7
654,Wallingford,86,2020-04-14,41.461989,-72.8055114,3,0.0,7.0,7
485,Wallingford,88,2020-04-15,41.461989,-72.8055114,3,0.0,2.0,6
316,Wallingford,99,2020-04-16,41.461989,-72.8055114,4,222.0,11.0,6
147,Wallingford,109,2020-04-17,41.461989,-72.8055114,5,245.0,10.0,7
4372,Wallingford,114,2020-04-18,41.461989,-72.8055114,5,256.0,5.0,6
4541,Wallingford,124,2020-04-19,41.461989,-72.8055114,6,278.0,10.0,7
4710,Wallingford,137,2020-04-20,41.461989,-72.8055114,8,308.0,13.0,8
4879,Wallingford,143,2020-04-21,41.461989,-72.8055114,8,321.0,6.0,8
5048,Wallingford,157,2020-04-22,41.461989,-72.8055114,8,353.0,14.0,9
5217,Wallingford,164,2020-04-23,41.461989,-72.8055114,8,368.0,7.0,9
5386,Wallingford,185,2020-04-24,41.461989,-72.8055114,11,415.0,21.0,10
4121,Killingworth,1,2020-03-24,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3978,Killingworth,1,2020-03-25,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3837,Killingworth,1,2020-03-26,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3658,Killingworth,1,2020-03-27,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3477,Killingworth,1,2020-03-28,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3281,Killingworth,1,2020-03-29,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
3112,Killingworth,1,2020-03-30,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2875,Killingworth,1,2020-03-31,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2824,Killingworth,1,2020-04-01,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2662,Killingworth,1,2020-04-02,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2435,Killingworth,1,2020-04-03,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2266,Killingworth,1,2020-04-04,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
2068,Killingworth,1,2020-04-05,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1870,Killingworth,1,2020-04-06,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1759,Killingworth,1,2020-04-07,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1590,Killingworth,1,2020-04-08,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1421,Killingworth,1,2020-04-09,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1252,Killingworth,1,2020-04-10,41.380739500000004,-72.57665899999998,0,0.0,0.0,0
1083,Killingworth,2,2020-04-11,41.380739500000004,-72.57665899999998,0,0.0,1.0,0
914,Killingworth,3,2020-04-12,41.380739500000004,-72.57665899999998,0,0.0,1.0,0
745,Killingworth,3,2020-04-13,41.380739500000004,-72.57665899999998,1,0.0,0.0,0
576,Killingworth,4,2020-04-14,41.380739500000004,-72.57665899999998,1,0.0,1.0,0
407,Killingworth,5,2020-04-15,41.380739500000004,-72.57665899999998,1,0.0,1.0,0
238,Killingworth,8,2020-04-16,41.380739500000004,-72.57665899999998,2,126.0,3.0,1
69,Killingworth,8,2020-04-17,41.380739500000004,-72.57665899999998,2,126.0,0.0,1
4294,Killingworth,9,2020-04-18,41.380739500000004,-72.57665899999998,3,141.0,1.0,1
4463,Killingworth,9,2020-04-19,41.380739500000004,-72.57665899999998,3,141.0,0.0,0
4632,Killingworth,10,2020-04-20,41.380739500000004,-72.57665899999998,3,157.0,1.0,1
4801,Killingworth,11,2020-04-21,41.380739500000004,-72.57665899999998,3,173.0,1.0,1
4970,Killingworth,11,2020-04-22,41.380739500000004,-72.57665899999998,3,173.0,0.0,0
5139,Killingworth,11,2020-04-23,41.380739500000004,-72.57665899999998,4,173.0,0.0,0
5308,Killingworth,11,2020-04-24,41.380739500000004,-72.57665899999998,4,173.0,0.0,0
4142,Derby,1,2020-03-24,41.3261714,-73.08256949999998,0,0.0,0.0,0
4041,Derby,1,2020-03-25,41.3261714,-73.08256949999998,0,0.0,0.0,0
3804,Derby,2,2020-03-26,41.3261714,-73.08256949999998,0,0.0,1.0,0
3625,Derby,3,2020-03-27,41.3261714,-73.08256949999998,0,0.0,1.0,0
3444,Derby,3,2020-03-28,41.3261714,-73.08256949999998,0,0.0,0.0,0
3248,Derby,6,2020-03-29,41.3261714,-73.08256949999998,0,0.0,3.0,0
3079,Derby,6,2020-03-30,41.3261714,-73.08256949999998,0,0.0,0.0,0
3011,Derby,9,2020-03-31,41.3261714,-73.08256949999998,0,0.0,3.0,1
2791,Derby,14,2020-04-01,41.3261714,-73.08256949999998,0,0.0,5.0,1
2625,Derby,13,2020-04-02,41.3261714,-73.08256949999998,0,0.0,-1.0,1
2402,Derby,18,2020-04-03,41.3261714,-73.08256949999998,0,0.0,5.0,2
2233,Derby,19,2020-04-04,41.3261714,-73.08256949999998,0,0.0,1.0,2
2035,Derby,19,2020-04-05,41.3261714,-73.08256949999998,0,0.0,0.0,1
1978,Derby,23,2020-04-06,41.3261714,-73.08256949999998,0,0.0,4.0,2
1726,Derby,26,2020-04-07,41.3261714,-73.08256949999998,1,0.0,3.0,2
1557,Derby,28,2020-04-08,41.3261714,-73.08256949999998,0,0.0,2.0,2
1388,Derby,29,2020-04-09,41.3261714,-73.08256949999998,0,0.0,1.0,2
1219,Derby,34,2020-04-10,41.3261714,-73.08256949999998,0,0.0,5.0,2
1050,Derby,43,2020-04-11,41.3261714,-73.08256949999998,1,0.0,9.0,3
882,Derby,46,2020-04-12,41.3261714,-73.08256949999998,1,0.0,3.0,3
712,Derby,54,2020-04-13,41.3261714,-73.08256949999998,1,0.0,8.0,4
543,Derby,56,2020-04-14,41.3261714,-73.08256949999998,1,0.0,2.0,4
374,Derby,54,2020-04-15,41.3261714,-73.08256949999998,2,0.0,-2.0,3
205,Derby,57,2020-04-16,41.3261714,-73.08256949999998,2,455.0,3.0,4
36,Derby,61,2020-04-17,41.3261714,-73.08256949999998,2,487.0,4.0,3
4261,Derby,63,2020-04-18,41.3261714,-73.08256949999998,2,503.0,2.0,2
4430,Derby,63,2020-04-19,41.3261714,-73.08256949999998,2,503.0,0.0,2
4599,Derby,73,2020-04-20,41.3261714,-73.08256949999998,3,583.0,10.0,2
4768,Derby,76,2020-04-21,41.3261714,-73.08256949999998,2,607.0,3.0,2
4937,Derby,78,2020-04-22,41.3261714,-73.08256949999998,2,623.0,2.0,3
